# Time-averaged data for fix myat2
# TimeStep v_myvol
63700 37842.2
63800 37845.9
63900 37849.5
64000 37852.2
64100 37853.9
64200 37853.2
64300 37849.2
64400 37841.8
64500 37830.9
64600 37815.9
64700 37796.4
64800 37773.1
64900 37746.6
65000 37716.6
65100 37683.1
65200 37647.9
65300 37612.5
65400 37576.9
65500 37541.6
65600 37507.6
65700 37475.9
65800 37447
65900 37420.6
66000 37395.1
66100 37369
66200 37340.3
66300 37307.4
66400 37271.5
66500 37234.3
66600 37195.9
66700 37155.9
66800 37114.7
66900 37073.1
67000 37032.1
67100 36993.4
67200 36957.6
67300 36924.9
67400 36895.3
67500 36868.1
67600 36841.3
67700 36813.2
67800 36784.2
67900 36753.7
68000 36721
68100 36687.5
68200 36654.3
68300 36621.5
68400 36589.6
68500 36558.5
68600 36527.3
68700 36495
68800 36461.9
68900 36427.4
69000 36390
69100 36349
69200 36304.1
69300 36254.7
69400 36200.8
69500 36142.7
69600 36080.1
69700 36014.2
69800 35947.3
69900 35881.1
70000 35817.3
70100 35757.7
70200 35704
70300 35656.4
70400 35613.7
70500 35575.5
70600 35541.4
70700 35510
70800 35480
70900 35450.4
71000 35421
71100 35390.7
71200 35358.4
71300 35323.4
71400 35284.9
71500 35242.6
71600 35196.5
71700 35147.5
71800 35096.3
71900 35043.2
72000 34988.2
72100 34931.7
72200 34874.3
72300 34816.6
72400 34758.6
72500 34699.4
72600 34637.9
72700 34574.7
72800 34510.7
72900 34445.7
73000 34379
73100 34310.2
73200 34239.8
73300 34169.1
73400 34098.9
73500 34029.4
73600 33961.7
73700 33896.6
73800 33833.9
73900 33772.9
74000 33714.3
74100 33658.1
74200 33603.5
74300 33551.1
74400 33501.4
74500 33454.2
74600 33408.7
74700 33365.5
74800 33325.1
74900 33287.6
75000 33252.5
75100 33218.3
75200 33184.9
75300 33152.3
75400 33121.1
75500 33091.6
75600 33064.5
75700 33040.2
75800 33018.1
75900 32997.9
76000 32979.6
76100 32963.3
76200 32948.4
76300 32933.7
76400 32918.2
76500 32901.7
76600 32884.1
76700 32865
76800 32843.4
76900 32820
77000 32796
77100 32772.5
77200 32749.5
77300 32726.5
77400 32702.4
77500 32676.9
77600 32651.7
77700 32627.9
77800 32605.1
77900 32582.8
78000 32561
78100 32540.2
78200 32520.8
78300 32502.7
78400 32485.7
78500 32469.2
78600 32452.5
78700 32435.7
78800 32417.9
78900 32398.6
79000 32378.2
79100 32357.8
79200 32336.7
79300 32313.4
79400 32287.6
79500 32260.5
79600 32233.1
79700 32205.9
79800 32178.9
79900 32152.1
80000 32125.5
80100 32099.1
80200 32073.5
80300 32049.4
80400 32026.6
80500 32005.1
80600 31984.7
80700 31963.7
80800 31941.5
80900 31917.7
81000 31893.1
81100 31867.5
81200 31840.5
81300 31812.9
81400 31785.5
81500 31759.2
81600 31734.7
81700 31711.8
81800 31690
81900 31668.8
82000 31647.8
82100 31627.3
82200 31607.7
82300 31588.7
82400 31569.7
82500 31550.5
82600 31531.3
82700 31511.4
82800 31489.7
82900 31464.7
83000 31436.5
83100 31404.4
83200 31367.4
83300 31326.5
83400 31283.5
83500 31239.1
83600 31194.3
83700 31150.8
83800 31109.7
83900 31070.9
84000 31034.8
84100 31002
84200 30972.9
84300 30947.5
84400 30926.2
84500 30908.8
84600 30894.2
84700 30880.5
84800 30866.4
84900 30851.3
85000 30834.1
85100 30814.1
85200 30790.7
85300 30763.5
85400 30732.2
85500 30696.8
85600 30657.7
85700 30615.4
85800 30571.1
85900 30525.4
86000 30479.7
86100 30435.9
86200 30395.3
86300 30357.3
86400 30321.4
86500 30287.9
86600 30256.2
86700 30225.5
86800 30195.8
86900 30167.1
87000 30138.3
87100 30109.3
87200 30080.2
87300 30050.9
87400 30021
87500 29990.6
87600 29960.1
87700 29929.2
87800 29898
87900 29867.3
88000 29836.5
88100 29804.7
88200 29770.9
88300 29735.8
88400 29700.3
88500 29665.1
88600 29630.7
88700 29597.8
88800 29565.5
88900 29533.4
89000 29501.5
89100 29470.8
89200 29441.4
89300 29412.5
89400 29384.3
89500 29357.8
89600 29334
89700 29312.3
89800 29292.9
89900 29275.6
90000 29259.8
90100 29244.3
90200 29228.6
90300 29212.8
90400 29196.9
90500 29180.2
90600 29162.4
90700 29143.6
90800 29124.2
90900 29105.2
91000 29086.8
91100 29068.7
91200 29050.1
91300 29030.3
91400 29008.3
91500 28983.9
91600 28957.4
91700 28929.9
91800 28902.4
91900 28875.6
92000 28849.8
92100 28825.3
92200 28803.1
92300 28783.4
92400 28766
92500 28751.3
92600 28740.1
92700 28732.8
92800 28728.5
92900 28725.9
93000 28724.5
93100 28723.6
93200 28723.2
93300 28723.9
93400 28726
93500 28727.9
93600 28728.2
93700 28727.4
93800 28725.9
93900 28723.9
94000 28720.9
94100 28717.1
94200 28713.1
94300 28709
94400 28704.1
94500 28697.7
94600 28689.8
94700 28680.8
94800 28671.6
94900 28663.5
95000 28656.6
95100 28650.2
95200 28643.5
