# Time-averaged data for fix myat3
# TimeStep v_mydensity
47100 0.00393487
47200 0.00393935
47300 0.00394386
47400 0.00394837
47500 0.003953
47600 0.00395781
47700 0.00396282
47800 0.00396799
47900 0.00397337
48000 0.00397908
48100 0.00398515
48200 0.00399145
48300 0.00399783
48400 0.00400426
48500 0.00401075
48600 0.00401715
48700 0.00402331
48800 0.00402913
48900 0.00403463
49000 0.0040399
49100 0.00404516
49200 0.00405061
49300 0.00405635
49400 0.00406249
49500 0.00406903
49600 0.00407587
49700 0.00408289
49800 0.00408997
49900 0.00409706
50000 0.00410409
50100 0.00411105
50200 0.00411807
50300 0.00412523
50400 0.00413247
50500 0.00413969
50600 0.0041469
50700 0.00415419
50800 0.00416155
50900 0.00416894
51000 0.00417642
51100 0.00418395
51200 0.00419138
51300 0.00419868
51400 0.00420591
51500 0.00421301
51600 0.00421984
51700 0.00422622
51800 0.00423213
51900 0.00423758
52000 0.00424256
52100 0.00424698
52200 0.00425093
52300 0.00425462
52400 0.00425808
52500 0.00426149
52600 0.00426518
52700 0.00426923
52800 0.00427373
52900 0.00427872
53000 0.00428418
53100 0.00429004
53200 0.00429609
53300 0.00430222
53400 0.00430852
53500 0.00431518
53600 0.00432224
53700 0.00432952
53800 0.00433684
53900 0.00434397
54000 0.0043508
54100 0.00435727
54200 0.0043634
54300 0.0043692
54400 0.00437459
54500 0.00437954
54600 0.00438416
54700 0.00438857
54800 0.0043928
54900 0.00439686
55000 0.00440088
55100 0.00440501
55200 0.0044094
55300 0.00441409
55400 0.00441911
55500 0.00442447
55600 0.00443003
55700 0.00443559
55800 0.00444116
55900 0.00444677
56000 0.00445236
56100 0.00445798
56200 0.0044636
56300 0.0044691
56400 0.00447451
56500 0.00447988
56600 0.00448525
56700 0.00449043
56800 0.00449528
56900 0.00449989
57000 0.00450436
57100 0.00450865
57200 0.0045127
57300 0.00451652
57400 0.00452016
57500 0.00452376
57600 0.00452741
57700 0.00453101
57800 0.00453442
57900 0.00453767
58000 0.00454095
58100 0.00454433
58200 0.00454768
58300 0.00455087
58400 0.00455398
58500 0.00455714
58600 0.00456051
58700 0.00456417
58800 0.00456805
58900 0.00457198
59000 0.00457576
59100 0.00457935
59200 0.00458271
59300 0.00458571
59400 0.00458822
59500 0.00459025
59600 0.00459187
59700 0.00459312
59800 0.00459398
59900 0.00459453
60000 0.00459491
60100 0.00459519
60200 0.00459556
60300 0.00459625
60400 0.00459727
60500 0.00459858
60600 0.00460023
60700 0.00460231
60800 0.00460478
60900 0.00460748
61000 0.00461035
61100 0.0046135
61200 0.00461687
61300 0.00462026
61400 0.00462348
61500 0.00462647
61600 0.00462933
61700 0.0046321
61800 0.00463473
61900 0.00463712
62000 0.00463918
62100 0.00464091
62200 0.00464241
62300 0.00464378
62400 0.00464495
62500 0.00464584
62600 0.00464641
62700 0.00464679
62800 0.00464715
62900 0.00464752
63000 0.00464804
63100 0.00464869
63200 0.00464935
63300 0.00464999
63400 0.00465056
63500 0.00465099
63600 0.00465113
63700 0.00465089
63800 0.00465044
63900 0.00465
64000 0.00464967
64100 0.00464946
64200 0.00464954
64300 0.00465003
64400 0.00465094
64500 0.00465228
64600 0.00465413
64700 0.00465653
64800 0.0046594
64900 0.00466268
65000 0.00466638
65100 0.00467052
65200 0.0046749
65300 0.0046793
65400 0.00468373
65500 0.00468813
65600 0.00469238
65700 0.00469635
65800 0.00469997
65900 0.00470329
66000 0.0047065
66100 0.00470978
66200 0.00471341
66300 0.00471756
66400 0.0047221
66500 0.00472683
66600 0.00473171
66700 0.0047368
66800 0.00474206
66900 0.00474738
67000 0.00475263
67100 0.00475761
67200 0.00476222
67300 0.00476643
67400 0.00477026
67500 0.00477378
67600 0.00477725
67700 0.00478089
67800 0.00478466
67900 0.00478863
68000 0.00479289
68100 0.00479728
68200 0.00480162
68300 0.00480592
68400 0.00481011
68500 0.0048142
68600 0.00481831
68700 0.00482257
68800 0.00482696
68900 0.00483153
69000 0.0048365
69100 0.00484195
69200 0.00484794
69300 0.00485455
69400 0.00486177
69500 0.00486959
69600 0.00487804
69700 0.00488696
69800 0.00489606
69900 0.0049051
70000 0.00491383
70100 0.00492202
70200 0.00492942
70300 0.00493601
70400 0.00494192
70500 0.00494722
70600 0.00495198
70700 0.00495635
70800 0.00496055
70900 0.00496468
71000 0.0049688
71100 0.00497306
71200 0.0049776
71300 0.00498253
71400 0.00498797
71500 0.00499395
71600 0.0050005
71700 0.00500748
71800 0.00501477
71900 0.00502237
72000 0.00503027
72100 0.0050384
72200 0.00504669
72300 0.00505506
72400 0.0050635
72500 0.00507214
