# Time-averaged data for fix myat3
# TimeStep v_position_piston_left
552000 -25.2869
553000 -25.3177
554000 -25.3596
555000 -25.3992
556000 -25.3879
557000 -25.4777
558000 -25.4315
559000 -25.4791
560000 -25.5029
561000 -25.4292
562000 -25.4966
563000 -25.5448
564000 -25.5106
565000 -25.4211
566000 -25.4298
567000 -25.293
568000 -25.3663
569000 -25.4627
570000 -25.4218
571000 -25.4187
572000 -25.3945
573000 -25.4656
574000 -25.3253
575000 -25.361
576000 -25.2729
577000 -25.3471
578000 -25.3607
579000 -25.4519
580000 -25.3485
581000 -25.3721
582000 -25.3376
583000 -25.4404
584000 -25.4783
585000 -25.5326
586000 -25.6149
587000 -25.5881
588000 -25.546
589000 -25.475
590000 -25.4535
591000 -25.4495
592000 -25.46
593000 -25.6019
594000 -25.5072
595000 -25.5847
596000 -25.4489
597000 -25.5952
598000 -25.5451
599000 -25.5729
600000 -25.6114
601000 -25.6772
602000 -25.7428
603000 -25.6495
604000 -25.5778
605000 -25.6507
606000 -25.6513
607000 -25.6529
608000 -25.6188
609000 -25.6181
610000 -25.7283
611000 -25.6125
612000 -25.5768
613000 -25.5244
614000 -25.4612
615000 -25.4359
616000 -25.3649
617000 -25.4265
618000 -25.4131
619000 -25.5341
620000 -25.3973
621000 -25.4253
622000 -25.4458
623000 -25.5416
624000 -25.641
625000 -25.6917
626000 -25.6721
627000 -25.6697
628000 -25.5988
629000 -25.7297
630000 -25.6394
631000 -25.6657
632000 -25.6532
633000 -25.634
634000 -25.5143
635000 -25.5571
636000 -25.5834
637000 -25.5293
638000 -25.5476
639000 -25.6415
640000 -25.6003
641000 -25.5388
642000 -25.4341
643000 -25.5851
644000 -25.5257
645000 -25.2644
646000 -25.4317
647000 -25.5261
648000 -25.4818
649000 -25.4249
650000 -25.4912
651000 -25.5123
652000 -25.5099
653000 -25.5016
654000 -25.4937
655000 -25.4266
656000 -25.5054
657000 -25.5786
658000 -25.6558
659000 -25.6542
660000 -25.7276
661000 -25.6648
662000 -25.6639
663000 -25.6056
664000 -25.6667
665000 -25.6551
666000 -25.6131
667000 -25.5328
668000 -25.5562
669000 -25.5885
670000 -25.6384
671000 -25.6344
672000 -25.5711
673000 -25.6806
674000 -25.6929
675000 -25.6246
676000 -25.6789
677000 -25.7
678000 -25.8081
679000 -25.7136
680000 -25.7934
681000 -25.8012
682000 -25.8325
683000 -25.8181
684000 -25.8727
685000 -25.8091
686000 -25.937
687000 -25.874
688000 -25.9147
689000 -25.8533
690000 -25.7589
691000 -25.8532
692000 -25.8302
693000 -25.9052
694000 -25.8791
695000 -25.9259
696000 -25.9202
697000 -26.0068
698000 -25.8828
699000 -25.8652
700000 -25.9874
701000 -25.8336
702000 -25.8852
703000 -25.7683
704000 -25.7506
705000 -25.7817
706000 -25.7577
707000 -25.7188
708000 -25.6355
709000 -25.6814
710000 -25.7211
711000 -25.7832
712000 -25.7314
713000 -25.7545
714000 -25.6784
715000 -25.7888
716000 -25.8525
717000 -25.8579
718000 -25.7848
719000 -25.8097
720000 -25.8482
721000 -26.0236
722000 -25.998
723000 -26.1111
724000 -26.2593
725000 -26.2162
726000 -26.2647
727000 -26.2206
728000 -26.1672
729000 -26.2168
730000 -26.3098
731000 -26.1304
732000 -26.2239
733000 -26.1716
734000 -26.1995
735000 -26.1584
736000 -26.08
737000 -26.0672
738000 -25.9604
739000 -26.0257
740000 -25.8211
741000 -25.7735
742000 -25.77
743000 -25.74
744000 -25.621
745000 -25.6008
746000 -25.697
747000 -25.8029
748000 -25.734
749000 -25.8258
750000 -25.8308
751000 -25.8969
752000 -25.9351
753000 -25.8698
754000 -25.8739
755000 -25.8109
756000 -25.9245
757000 -25.8459
758000 -25.8335
759000 -25.8026
760000 -25.8112
761000 -25.7146
762000 -25.7834
763000 -25.9222
764000 -25.9036
765000 -25.9875
766000 -25.9634
767000 -25.9851
768000 -26.0342
769000 -25.7728
770000 -25.8538
771000 -25.8988
772000 -25.7891
773000 -25.7437
774000 -25.8363
775000 -25.7895
776000 -25.7445
777000 -25.738
778000 -25.7576
779000 -25.7678
780000 -25.8744
781000 -25.8238
782000 -25.8388
783000 -25.8614
784000 -25.9473
785000 -26.0208
786000 -25.8487
787000 -25.8675
788000 -25.7949
789000 -25.7095
790000 -25.7154
791000 -25.6403
792000 -25.6455
793000 -25.588
794000 -25.6057
795000 -25.5614
796000 -25.5264
797000 -25.7059
798000 -25.7583
799000 -25.7391
800000 -25.759
801000 -25.7383
802000 -25.6989
803000 -25.754
804000 -25.6834
805000 -25.638
806000 -25.5992
807000 -25.6735
808000 -25.5595
809000 -25.5554
810000 -25.5852
811000 -25.4773
812000 -25.6051
813000 -25.4751
814000 -25.5775
815000 -25.6194
816000 -25.5176
817000 -25.4688
818000 -25.5112
819000 -25.4965
820000 -25.5999
821000 -25.6113
822000 -25.6972
823000 -25.7737
824000 -25.8635
825000 -25.7858
826000 -25.9366
827000 -25.974
828000 -26.0248
829000 -26.0334
830000 -25.9564
