# Time-averaged data for fix myat4
# TimeStep v_position_piston_right
163000 27.7897
164000 27.6194
165000 27.5221
166000 27.5588
167000 27.5428
168000 27.5902
169000 27.5029
170000 27.5872
171000 27.5134
172000 27.5945
173000 27.4343
174000 27.2591
175000 27.1901
176000 27.2196
177000 27.2429
178000 27.3407
179000 27.4227
180000 27.3452
181000 27.3816
182000 27.3355
183000 27.4216
184000 27.4869
185000 27.6125
186000 27.5793
187000 27.5712
188000 27.6587
189000 27.5646
190000 27.4671
191000 27.4105
192000 27.5356
193000 27.365
194000 27.3877
195000 27.3301
196000 27.3536
197000 27.3093
198000 27.4193
199000 27.5325
200000 27.5454
201000 27.5912
202000 27.5855
203000 27.8083
204000 27.8626
205000 27.7702
206000 27.6487
207000 27.723
208000 27.7375
209000 27.6354
210000 27.5685
211000 27.3957
212000 27.3197
213000 27.3248
214000 27.3342
215000 27.3375
216000 27.372
217000 27.2965
218000 27.3087
219000 27.3679
220000 27.4032
221000 27.3634
222000 27.5301
223000 27.6723
224000 27.6733
225000 27.6054
226000 27.6093
227000 27.5053
228000 27.6265
229000 27.7692
230000 27.7838
231000 27.7357
232000 27.6801
233000 27.521
234000 27.6189
235000 27.5823
236000 27.4659
237000 27.5117
238000 27.6669
239000 27.6787
240000 27.6175
241000 27.6771
242000 27.673
243000 27.5388
244000 27.4052
245000 27.6058
246000 27.6622
247000 27.6065
248000 27.5444
249000 27.6193
250000 27.7227
251000 27.7616
252000 27.8762
253000 27.9893
254000 28.0013
255000 28.0097
256000 28.146
257000 27.9201
258000 28.0131
259000 27.894
260000 27.8272
261000 27.9502
262000 28.0318
263000 28.0681
264000 27.9492
265000 27.7388
266000 27.7575
267000 27.7208
268000 27.8966
269000 27.6401
270000 27.7336
271000 27.7454
272000 27.6205
273000 27.4982
274000 27.5414
275000 27.5156
276000 27.5492
277000 27.3965
278000 27.2508
279000 27.0852
280000 27.172
281000 27.1262
282000 27.2738
283000 27.3328
284000 27.3191
285000 27.4117
286000 27.4802
287000 27.4429
288000 27.6372
289000 27.6082
290000 27.5208
291000 27.4804
292000 27.5518
293000 27.5713
294000 27.5218
295000 27.5209
296000 27.4767
297000 27.4134
298000 27.2528
299000 27.1737
300000 27.0191
301000 27.1409
302000 27.0158
303000 27.0195
304000 27.0118
305000 26.9873
306000 26.9038
307000 26.9654
308000 26.8777
309000 27.006
310000 26.8848
311000 26.8766
312000 26.7646
313000 26.7865
314000 26.7588
315000 26.8622
316000 26.766
317000 26.6442
318000 26.7654
319000 26.7187
320000 26.7071
321000 26.6733
322000 26.618
323000 26.6408
324000 26.6216
325000 26.7892
326000 26.9714
327000 27.082
328000 26.9087
329000 27.0034
330000 26.8283
331000 26.9231
332000 26.9531
333000 26.9177
334000 27.029
335000 26.962
336000 27.0989
337000 27.0836
338000 26.9574
339000 26.9524
340000 27.0628
341000 26.9922
342000 26.9269
