# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
2650 1.03394 -0.973725 0.97981
2660 1.02769 -0.975654 0.933214
2670 0.99169 -0.979635 0.900158
2680 0.982878 -0.95738 0.965782
2690 0.968036 -0.969655 0.919078
2700 0.978775 -0.968361 0.913766
2710 0.977739 -0.968504 0.918375
2720 0.968025 -0.967331 0.9422
2730 1.00134 -0.967052 0.984582
2740 1.01394 -0.96131 1.01263
2750 1.03117 -0.955036 1.02008
2760 1.01816 -0.974924 0.919891
2770 1.00349 -0.980779 0.903891
2780 0.994248 -0.969195 0.960959
2790 1.0341 -0.960529 1.00837
2800 1.016 -0.963972 0.970545
2810 1.02056 -0.974022 0.942268
2820 0.98131 -0.977339 0.890895
2830 1.00617 -0.967508 0.904772
2840 1.004 -0.953143 0.964478
2850 1.00632 -0.960448 0.957836
2860 1.00741 -0.960265 0.938088
2870 0.995178 -0.950841 0.965776
2880 1.01828 -0.944121 0.992552
2890 1.01652 -0.947719 0.990057
2900 1.00687 -0.958845 0.925519
2910 1.0165 -0.956822 0.932757
2920 1.03967 -0.960694 0.947578
2930 1.02121 -0.948854 0.984557
2940 0.978638 -0.944628 0.985467
2950 0.975605 -0.938414 1.00721
2960 1.00868 -0.955676 0.955485
2970 1.04208 -0.965942 0.924114
2980 1.00207 -0.948202 0.971894
2990 0.979549 -0.944186 0.972091
3000 1.00402 -0.960799 0.917036
3010 1.02271 -0.956102 0.949565
3020 1.01731 -0.948444 0.994849
3030 1.02904 -0.938871 1.04208
3040 1.00236 -0.936819 1.02351
3050 1.01783 -0.941182 1.00971
3060 1.01621 -0.954653 0.956636
3070 1.03141 -0.965325 0.918997
3080 1.0022 -0.956538 0.943089
3090 1.04386 -0.976928 0.90623
3100 1.04161 -0.974578 0.924794
3110 1.01454 -0.981769 0.885607
3120 0.999027 -0.975774 0.891077
3130 1.00855 -0.964863 0.940327
3140 1.02049 -0.964728 0.920646
3150 0.968764 -0.963448 0.898085
3160 0.996831 -0.973632 0.869519
3170 0.98052 -0.965312 0.891107
3180 0.982203 -0.954221 0.935144
3190 0.992104 -0.967188 0.891408
3200 1.00076 -0.98141 0.862236
3210 0.987192 -0.973821 0.884995
3220 0.97469 -0.955205 0.928305
3230 0.968113 -0.949737 0.932303
3240 0.988309 -0.953883 0.929062
3250 0.973971 -0.964055 0.892247
3260 0.986174 -0.962345 0.941343
3270 1.00148 -0.948676 1.00994
3280 1.03373 -0.978394 0.930234
3290 1.01629 -0.977423 0.907356
3300 0.992782 -0.965233 0.947541
3310 0.990428 -0.980641 0.890171
3320 0.982476 -0.979044 0.89367
3330 1.00075 -0.979414 0.892326
3340 1.02493 -0.993262 0.853102
3350 1.03241 -1.00079 0.84257
3360 1.0365 -0.976607 0.939441
3370 1.01915 -0.961891 0.996901
3380 1.02796 -0.972265 0.96789
3390 0.992417 -0.971889 0.93227
3400 0.97171 -0.986425 0.876748
3410 0.994045 -0.967859 0.981683
3420 1.00366 -0.967185 0.992197
3430 1.01631 -0.965739 0.967892
3440 1.03203 -0.984897 0.886439
3450 1.00213 -0.996546 0.816769
3460 1.02942 -0.974413 0.918043
3470 1.02776 -0.952583 1.00492
3480 1.01775 -0.969139 0.918428
3490 1.00431 -0.973491 0.8877
3500 0.975635 -0.969772 0.874863
3510 0.986014 -0.947992 0.955219
3520 0.991283 -0.961655 0.887379
3530 1.0008 -0.969693 0.855068
3540 0.976006 -0.965275 0.872914
3550 0.964451 -0.97515 0.840874
3560 1.00057 -0.980429 0.83978
3570 1.00338 -0.988931 0.827724
3580 1.0063 -0.979768 0.86387
3590 1.01708 -0.977651 0.865977
3600 1.03442 -0.966852 0.881617
3610 1.029 -0.965595 0.881341
3620 1.01422 -0.957325 0.914703
3630 1.02291 -0.969547 0.864226
3640 1.03019 -0.968061 0.870504
3650 1.00565 -0.965193 0.884381
3660 1.00185 -0.973332 0.875284
3670 0.975407 -0.974489 0.858434
3680 0.996635 -0.965496 0.887779
3690 1.01022 -0.965923 0.886011
3700 1.01943 -0.97109 0.876091
3710 1.00207 -0.96794 0.89474
3720 0.989499 -0.970369 0.892425
3730 1.01562 -0.976767 0.893752
3740 0.998757 -0.965077 0.940912
3750 0.999374 -0.972249 0.923938
3760 1.02391 -0.984819 0.907249
3770 1.0244 -0.971694 0.981384
3780 0.998916 -0.951734 1.04929
3790 0.996619 -0.96426 1.00863
3800 0.997952 -0.976522 0.955498
3810 1.00708 -0.984646 0.905392
3820 0.995038 -0.979357 0.891372
3830 1.03273 -0.964522 0.956119
3840 1.01546 -0.954376 0.984777
3850 1.02294 -0.97714 0.896764
3860 0.984401 -0.977004 0.883359
3870 1.01298 -0.988919 0.849819
3880 0.993017 -0.98085 0.873639
3890 1.01063 -0.976462 0.914887
3900 1.00265 -0.982001 0.897837
3910 1.01441 -0.990812 0.872752
3920 1.01412 -0.975079 0.94678
3930 1.02192 -0.9614 0.994641
3940 0.980204 -0.959653 0.980885
3950 0.99579 -0.976038 0.938524
3960 0.986658 -0.98767 0.874649
3970 0.983438 -0.978549 0.937591
3980 0.991338 -0.960749 1.00837
3990 1.02089 -0.957482 1.03108
4000 1.00918 -0.955311 1.01397
4010 1.00089 -0.953376 0.987519
4020 1.01027 -0.967708 0.860489
4030 0.989846 -0.984051 0.799542
4040 0.988368 -0.983414 0.808242
4050 1.01269 -0.976821 0.873244
4060 1.00331 -0.970834 0.935823
4070 1.00794 -0.973159 0.954078
4080 0.984067 -0.967504 0.955319
4090 1.00026 -0.978137 0.909723
4100 1.02586 -0.962739 0.953618
4110 0.999245 -0.958503 0.968733
4120 0.98578 -0.97676 0.920781
4130 1.00063 -0.972757 0.934573
4140 0.980407 -0.968552 0.917058
4150 0.98826 -0.979791 0.877756
4160 0.971464 -0.979374 0.867362
4170 1.01009 -0.979789 0.893502
4180 0.984855 -0.963615 0.972216
4190 1.02768 -0.975249 0.938147
4200 1.03897 -0.98094 0.949196
4210 1.0149 -0.969452 0.975388
4220 1.02935 -0.958901 1.01282
4230 1.03763 -0.960039 1.03078
4240 1.03135 -0.971846 0.979205
4250 1.01846 -0.970074 0.954801
4260 1.00234 -0.96822 0.960576
4270 1.00857 -0.964719 0.975292
4280 0.979309 -0.962298 0.964703
4290 0.985431 -0.958615 0.962558
4300 1.0094 -0.959854 0.972107
4310 0.983463 -0.968348 0.926686
4320 0.990162 -0.978485 0.860448
4330 0.987678 -0.974197 0.868005
4340 0.987287 -0.973591 0.90075
4350 0.988844 -0.983149 0.853677
4360 0.996078 -0.985596 0.836794
4370 0.984639 -0.960851 0.931012
4380 0.994857 -0.973856 0.91817
4390 1.00693 -0.978407 0.913519
4400 1.02483 -0.974225 0.945685
4410 0.975984 -0.966403 0.979623
4420 1.01266 -0.973486 0.949655
4430 0.983845 -0.980412 0.860313
4440 1.01464 -0.989787 0.814935
4450 1.00318 -0.980756 0.837431
4460 1.01111 -0.981161 0.859297
4470 0.993442 -0.956409 0.972994
4480 0.976741 -0.959162 0.948045
4490 0.959286 -0.965162 0.917421
4500 0.973515 -0.97 0.903284
4510 0.968846 -0.9733 0.879552
