# Chunk-averaged data for fix myac and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
1000000 50 59.99999999999999
  42 16.5 1.67745 0.00104841
  43 17.5 1.70537 0.00106586
  44 18.5 1.68236 0.00105147
  45 19.5 1.58547 0.000990919
  46 20.5 1.63818 0.00102386
  47 21.5 1.65423 0.00103389
  48 22.5 1.74243 0.00108902
  49 23.5 1.68508 0.00105317
  50 24.5 1.66487 0.00104054
8000000 50 60
  1 -24.5 1.58541 0.000990881
  2 -23.5 1.50125 0.000938281
  3 -22.5 1.48786 0.000929912
  4 -21.5 1.4993 0.000937062
  5 -20.5 1.505 0.000940625
  6 -19.5 1.54168 0.00096355
  7 -18.5 1.61601 0.00101001
  8 -17.5 1.70522 0.00106576
  9 -16.5 1.6685 0.00104281
  10 -15.5 1.6602 0.00103763
  11 -14.5 1.68084 0.00105052
  12 -13.5 1.72804 0.00108003
  13 -12.5 1.66792 0.00104245
  14 -11.5 1.62799 0.00101749
  15 -10.5 1.61413 0.00100883
  16 -9.5 1.58918 0.000993238
  17 -8.5 1.36961 0.000856006
  18 -7.5 1.19487 0.000746794
  19 -6.5 0.93422 0.000583888
  20 -5.5 0.41314 0.000258212
  21 -4.5 0.03552 2.22e-05
  22 -3.5 0.00713 4.45625e-06
  23 -2.5 0.00093 5.8125e-07
  24 -1.5 4e-05 2.5e-08
  25 -0.5 0 0
  26 0.5 0.00181 1.13125e-06
  27 1.5 0.00435 2.71875e-06
  28 2.5 0.00539 3.36875e-06
  29 3.5 0.01529 9.55625e-06
  30 4.5 0.03622 2.26375e-05
  31 5.5 0.42362 0.000264762
  32 6.5 1.07541 0.000672131
  33 7.5 1.34931 0.000843319
  34 8.5 1.4988 0.00093675
  35 9.5 1.47949 0.000924681
  36 10.5 1.52492 0.000953075
  37 11.5 1.55555 0.000972219
  38 12.5 1.63423 0.00102139
  39 13.5 1.58242 0.000989013
  40 14.5 1.65329 0.00103331
  41 15.5 1.76492 0.00110308
  42 16.5 1.76415 0.00110259
  43 17.5 1.66906 0.00104316
  44 18.5 1.56288 0.0009768
  45 19.5 1.5386 0.000961625
  46 20.5 1.56833 0.000980206
  47 21.5 1.62623 0.00101639
  48 22.5 1.66136 0.00103835
  49 23.5 1.67238 0.00104524
  50 24.5 1.698 0.00106125
9000000 50 60.00000000000001
  1 -24.5 1.61911 0.00101194
  2 -23.5 1.58659 0.000991619
  3 -22.5 1.60505 0.00100316
  4 -21.5 1.658 0.00103625
  5 -20.5 1.68771 0.00105482
  6 -19.5 1.72482 0.00107801
  7 -18.5 1.72647 0.00107904
  8 -17.5 1.70382 0.00106489
  9 -16.5 1.75511 0.00109694
  10 -15.5 1.76582 0.00110364
  11 -14.5 1.78019 0.00111262
  12 -13.5 1.91411 0.00119632
  13 -12.5 1.76903 0.00110564
  14 -11.5 1.74276 0.00108923
  15 -10.5 1.77135 0.00110709
  16 -9.5 1.72335 0.00107709
  17 -8.5 1.63744 0.0010234
  18 -7.5 1.47878 0.000924238
  19 -6.5 1.12858 0.000705362
  20 -5.5 0.45966 0.000287288
  21 -4.5 0.03162 1.97625e-05
  22 -3.5 0.00375 2.34375e-06
  23 -2.5 0.00057 3.5625e-07
  24 -1.5 0 0
  25 -0.5 0 0
  26 0.5 0 0
  27 1.5 0.00102 6.375e-07
  28 2.5 0.00267 1.66875e-06
  29 3.5 0.00466 2.9125e-06
  30 4.5 0.02569 1.60563e-05
  31 5.5 0.44211 0.000276319
  32 6.5 0.99917 0.000624481
  33 7.5 1.29858 0.000811612
  34 8.5 1.34512 0.0008407
  35 9.5 1.36264 0.00085165
  36 10.5 1.38788 0.000867425
  37 11.5 1.3976 0.0008735
  38 12.5 1.40675 0.000879219
  39 13.5 1.47071 0.000919194
  40 14.5 1.48464 0.0009279
  41 15.5 1.54549 0.000965931
  42 16.5 1.49786 0.000936162
  43 17.5 1.49922 0.000937013
  44 18.5 1.42936 0.00089335
  45 19.5 1.43034 0.000893962
  46 20.5 1.48527 0.000928294
  47 21.5 1.54883 0.000968019
  48 22.5 1.51501 0.000946881
  49 23.5 1.55416 0.00097135
  50 24.5 1.59153 0.000994706
10000000 50 60
  1 -24.5 1.6369 0.00102306
  2 -23.5 1.57351 0.000983444
  3 -22.5 1.47902 0.000924387
  4 -21.5 1.46931 0.000918319
  5 -20.5 1.53806 0.000961287
  6 -19.5 1.46288 0.0009143
  7 -18.5 1.42842 0.000892763
  8 -17.5 1.47981 0.000924881
  9 -16.5 1.48207 0.000926294
  10 -15.5 1.57001 0.000981256
  11 -14.5 1.55005 0.000968781
  12 -13.5 1.53357 0.000958481
  13 -12.5 1.58796 0.000992475
  14 -11.5 1.60626 0.00100391
  15 -10.5 1.50598 0.000941237
  16 -9.5 1.4771 0.000923187
  17 -8.5 1.46457 0.000915356
  18 -7.5 1.37359 0.000858494
  19 -6.5 1.04642 0.000654012
  20 -5.5 0.46154 0.000288463
  21 -4.5 0.03079 1.92438e-05
  22 -3.5 0.00798 4.9875e-06
  23 -2.5 0.00606 3.7875e-06
  24 -1.5 0.00015 9.375e-08
  25 -0.5 0 0
  26 0.5 0 0
  27 1.5 0.0001 6.25e-08
  28 2.5 0.00211 1.31875e-06
  29 3.5 0.00607 3.79375e-06
  30 4.5 0.0246 1.5375e-05
  31 5.5 0.44136 0.00027585
  32 6.5 1.07874 0.000674213
  33 7.5 1.31306 0.000820662
  34 8.5 1.47783 0.000923644
  35 9.5 1.6005 0.00100031
  36 10.5 1.61417 0.00100886
  37 11.5 1.68317 0.00105198
  38 12.5 1.71901 0.00107438
  39 13.5 1.69597 0.00105998
  40 14.5 1.62978 0.00101861
  41 15.5 1.72877 0.00108048
  42 16.5 1.67673 0.00104796
  43 17.5 1.6906 0.00105662
  44 18.5 1.59736 0.00099835
  45 19.5 1.63696 0.0010231
  46 20.5 1.68802 0.00105501
  47 21.5 1.74635 0.00109147
  48 22.5 1.77606 0.00111004
  49 23.5 1.74777 0.00109236
  50 24.5 1.6529 0.00103306
