# Time-averaged data for fix myat1
# TimeStep v_mytemp
80600 298.802
80700 302.06
80800 302.489
80900 298.467
81000 295.901
81100 303.211
81200 301.908
81300 308.151
81400 296.388
81500 297.288
81600 295.621
81700 296.833
81800 306.551
81900 310.852
82000 304.943
82100 307.024
82200 299.116
82300 298.58
82400 300.084
82500 309.537
82600 301.736
82700 294.145
82800 297.115
82900 297.726
83000 291.262
83100 294.239
83200 302.832
83300 306.136
83400 296.748
83500 295.837
83600 297.075
83700 307.818
83800 299.774
83900 288.465
84000 307.538
84100 303.702
84200 300.739
84300 305.328
84400 294.37
84500 303.176
84600 307.04
84700 295.751
84800 300.693
84900 291.473
85000 284.447
85100 297.591
85200 308.545
85300 294.103
85400 305.462
85500 295.49
85600 300.499
85700 297.355
85800 299.066
85900 303.352
86000 301.87
86100 305.016
86200 299.381
86300 303.242
86400 308.719
86500 302.036
86600 301.315
86700 291.482
86800 289.525
86900 299.131
87000 305.051
87100 304.917
87200 297.635
87300 297.305
87400 305.571
87500 302.557
87600 310.282
87700 297.347
87800 299.411
87900 288.551
88000 295.434
88100 291.75
88200 301.762
88300 302.999
88400 322.336
88500 305.134
88600 312.34
88700 304.313
88800 299.579
88900 290.613
89000 303.078
89100 297.177
89200 292.143
89300 300.518
89400 303.888
89500 302.358
89600 294.684
89700 301.744
89800 300.608
89900 293.098
90000 301.834
90100 293.826
90200 298.56
90300 299.987
90400 303.367
90500 308.279
90600 296.97
90700 305.91
90800 298.183
90900 296.152
91000 306.815
91100 299.179
91200 304.687
91300 292.936
91400 299.175
91500 295.959
91600 288.281
91700 297.697
91800 298.577
91900 304.011
92000 308.184
92100 302.999
92200 303.414
92300 300.355
92400 293.052
92500 311.612
92600 298.973
92700 291.945
92800 301.441
92900 300.038
93000 295.211
93100 296.627
93200 301.331
93300 290.396
93400 290.18
93500 302.763
93600 292.241
93700 304.512
93800 305.064
93900 294.641
94000 302.009
94100 296.499
94200 301.918
94300 298.232
94400 301.819
94500 301.76
94600 306.669
94700 298.718
94800 293.186
94900 301.01
95000 305.67
95100 308.607
95200 308.408
95300 306.653
95400 300.768
95500 311.247
95600 296.617
95700 292.11
95800 289.857
95900 291.175
96000 303.657
96100 294.584
96200 308.053
96300 291.082
96400 297.07
96500 298.82
96600 305.633
96700 298.08
96800 299.638
96900 308.834
97000 297.253
97100 286.49
97200 306.829
97300 292.124
97400 305.046
97500 303.383
97600 303.346
97700 303.227
97800 298.467
97900 298.616
98000 298.895
98100 303.64
98200 291.632
98300 297.417
98400 297.157
98500 310.314
98600 306.787
98700 297.35
98800 303.88
98900 289.863
99000 297.88
99100 301.792
99200 299.205
99300 288.405
99400 295.373
99500 297.001
99600 305.93
99700 307.039
99800 305.207
99900 300.6
100000 301.283
