# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
7900 -0.630657 0.282057
8000 0.315304 0.100659
8100 0.427392 -0.0658514
8200 -0.506694 -0.32578
8300 -0.30788 0.226498
8400 0.78851 0.677744
8500 0.621655 1.19149
8600 0.425732 0.25301
8700 0.0700688 -0.405249
8800 -1.45411 -0.584387
8900 -0.368696 -0.25526
9000 -0.673439 -0.955124
9100 -0.410533 0.753324
9200 1.75962 -0.0887487
9300 0.386942 0.0317729
9400 -0.58386 -0.716379
9500 -0.169906 0.783872
9600 0.823766 0.265337
9700 -0.301111 0.139106
9800 -1.12721 -1.84702
9900 -0.048011 -1.06734
10000 -1.84057 1.03911
10100 0.762467 -0.0566905
10200 0.285213 0.0706766
10300 0.539539 1.02162
10400 0.376855 0.749524
10500 -0.228235 -0.274937
10600 -0.331854 -0.910831
10700 -0.184603 -0.290791
10800 0.288081 0.239454
10900 0.223568 -0.169552
11000 -0.918494 -0.0353209
11100 1.33732 0.0656669
11200 0.611142 0.265004
11300 -0.433612 1.75148
11400 1.19911 0.167744
11500 0.11217 -1.01588
11600 -0.408819 0.503352
11700 -0.742303 -0.425639
11800 -0.37911 -0.748566
11900 -1.05952 1.51098
12000 0.913702 -0.605957
12100 1.2445 -0.601467
12200 -0.561145 0.966978
12300 -0.363258 0.0619247
12400 1.18882 0.404923
12500 0.321838 -1.2713
12600 -1.80899 0.377171
12700 -0.577248 -1.5016
12800 0.244243 -0.594118
12900 -0.0419895 0.410775
13000 -0.00923549 0.695195
13100 0.203053 0.14669
13200 -0.322611 1.60433
13300 0.108293 -0.64983
13400 0.985876 -1.76702
13500 -0.794414 0.310182
13600 -0.629767 1.09126
13700 0.0198991 -1.32136
13800 -0.703631 -0.635476
13900 0.114892 0.670858
14000 0.277865 0.279397
14100 1.87384 1.3173
14200 -0.348187 0.429271
14300 1.16985 -1.24201
14400 -0.923981 1.11694
14500 -1.16544 -0.667284
14600 -0.347893 -0.153387
14700 1.26782 -0.141652
14800 -0.42331 -0.639597
14900 0.454874 1.16426
